"Year","overseas_percent","name","value"
"1891",32.4,"aus_born",1.8
"1891",32.4,"overseas_born",0.86
"1892",31.3,"aus_born",1.89
"1892",31.3,"overseas_born",0.86
"1893",30.2,"aus_born",1.98
"1893",30.2,"overseas_born",0.86
"1894",29.1,"aus_born",2.08
"1894",29.1,"overseas_born",0.86
"1895",28.1,"aus_born",2.18
"1895",28.1,"overseas_born",0.86
"1896",27.1,"aus_born",2.29
"1896",27.1,"overseas_born",0.86
"1897",26.2,"aus_born",2.4
"1897",26.2,"overseas_born",0.86
"1898",25.2,"aus_born",2.52
"1898",25.2,"overseas_born",0.86
"1899",24.3,"aus_born",2.65
"1899",24.3,"overseas_born",0.86
"1900",23.5,"aus_born",2.78
"1900",23.5,"overseas_born",0.86
"1901",22.7,"aus_born",2.92
"1901",22.7,"overseas_born",0.86
"1902",22,"aus_born",2.99
"1902",22,"overseas_born",0.85
"1903",21.4,"aus_born",3.06
"1903",21.4,"overseas_born",0.84
"1904",20.8,"aus_born",3.13
"1904",20.8,"overseas_born",0.83
"1905",20.2,"aus_born",3.21
"1905",20.2,"overseas_born",0.82
"1906",19.6,"aus_born",3.28
"1906",19.6,"overseas_born",0.81
"1907",19.1,"aus_born",3.36
"1907",19.1,"overseas_born",0.8
"1908",18.6,"aus_born",3.44
"1908",18.6,"overseas_born",0.79
"1909",18,"aus_born",3.53
"1909",18,"overseas_born",0.78
"1910",17.5,"aus_born",3.61
"1910",17.5,"overseas_born",0.77
"1911",17,"aus_born",3.7
"1911",17,"overseas_born",0.76
"1912",16.9,"aus_born",3.78
"1912",16.9,"overseas_born",0.77
"1913",16.7,"aus_born",3.86
"1913",16.7,"overseas_born",0.77
"1914",16.5,"aus_born",3.95
"1914",16.5,"overseas_born",0.78
"1915",16.4,"aus_born",4.03
"1915",16.4,"overseas_born",0.79
"1916",16.2,"aus_born",4.12
"1916",16.2,"overseas_born",0.8
"1917",16,"aus_born",4.21
"1917",16,"overseas_born",0.81
"1918",15.9,"aus_born",4.31
"1918",15.9,"overseas_born",0.81
"1919",15.7,"aus_born",4.4
"1919",15.7,"overseas_born",0.82
"1920",15.6,"aus_born",4.5
"1920",15.6,"overseas_born",0.83
"1921",15.4,"aus_born",4.6
"1921",15.4,"overseas_born",0.84
"1922",15.3,"aus_born",4.68
"1922",15.3,"overseas_born",0.84
"1923",15.1,"aus_born",4.77
"1923",15.1,"overseas_born",0.85
"1924",15,"aus_born",4.86
"1924",15,"overseas_born",0.85
"1925",14.8,"aus_born",4.95
"1925",14.8,"overseas_born",0.86
"1926",14.6,"aus_born",5.04
"1926",14.6,"overseas_born",0.87
"1927",14.5,"aus_born",5.13
"1927",14.5,"overseas_born",0.87
"1928",14.3,"aus_born",5.23
"1928",14.3,"overseas_born",0.88
"1929",14.2,"aus_born",5.32
"1929",14.2,"overseas_born",0.88
"1930",14.1,"aus_born",5.42
"1930",14.1,"overseas_born",0.89
"1931",13.9,"aus_born",5.52
"1931",13.9,"overseas_born",0.89
"1932",13.8,"aus_born",5.62
"1932",13.8,"overseas_born",0.9
"1933",13.6,"aus_born",5.73
"1933",13.6,"overseas_born",0.9
"1934",13.3,"aus_born",5.8
"1934",13.3,"overseas_born",0.89
"1935",13,"aus_born",5.87
"1935",13,"overseas_born",0.88
"1936",12.7,"aus_born",5.95
"1936",12.7,"overseas_born",0.87
"1937",12.4,"aus_born",6.02
"1937",12.4,"overseas_born",0.85
"1938",12.1,"aus_born",6.1
"1938",12.1,"overseas_born",0.84
"1939",11.8,"aus_born",6.18
"1939",11.8,"overseas_born",0.83
"1940",11.6,"aus_born",6.26
"1940",11.6,"overseas_born",0.82
"1941",11.3,"aus_born",6.34
"1941",11.3,"overseas_born",0.81
"1942",11,"aus_born",6.42
"1942",11,"overseas_born",0.8
"1943",10.8,"aus_born",6.5
"1943",10.8,"overseas_born",0.79
"1944",10.5,"aus_born",6.58
"1944",10.5,"overseas_born",0.78
"1945",10.3,"aus_born",6.66
"1945",10.3,"overseas_born",0.77
"1946",10.1,"aus_born",6.75
"1946",10.1,"overseas_born",0.75
"1947",9.8,"aus_born",6.84
"1947",9.8,"overseas_born",0.74
"1948",10.4,"aus_born",6.95
"1948",10.4,"overseas_born",0.8
"1949",10.9,"aus_born",7.07
"1949",10.9,"overseas_born",0.87
"1950",11.5,"aus_born",7.19
"1950",11.5,"overseas_born",0.94
"1951",12.2,"aus_born",7.32
"1951",12.2,"overseas_born",1.02
"1952",12.9,"aus_born",7.44
"1952",12.9,"overseas_born",1.1
"1953",13.6,"aus_born",7.57
"1953",13.6,"overseas_born",1.19
"1954",14.3,"aus_born",7.7
"1954",14.3,"overseas_born",1.29
"1955",14.7,"aus_born",7.84
"1955",14.7,"overseas_born",1.35
"1956",15,"aus_born",7.98
"1956",15,"overseas_born",1.41
"1957",15.4,"aus_born",8.13
"1957",15.4,"overseas_born",1.48
"1958",15.8,"aus_born",8.27
"1958",15.8,"overseas_born",1.55
"1959",16.1,"aus_born",8.42
"1959",16.1,"overseas_born",1.62
"1960",16.5,"aus_born",8.57
"1960",16.5,"overseas_born",1.7
"1961",16.9,"aus_born",8.73
"1961",16.9,"overseas_born",1.78
"1962",17.2,"aus_born",8.86
"1962",17.2,"overseas_born",1.84
"1963",17.5,"aus_born",9
"1963",17.5,"overseas_born",1.91
"1964",17.8,"aus_born",9.14
"1964",17.8,"overseas_born",1.98
"1965",18.1,"aus_born",9.28
"1965",18.1,"overseas_born",2.06
"1966",18.4,"aus_born",9.42
"1966",18.4,"overseas_born",2.13
"1967",18.8,"aus_born",9.57
"1967",18.8,"overseas_born",2.21
"1968",19.1,"aus_born",9.72
"1968",19.1,"overseas_born",2.3
"1969",19.5,"aus_born",9.87
"1969",19.5,"overseas_born",2.39
"1970",19.9,"aus_born",10.02
"1970",19.9,"overseas_born",2.48
"1971",20.2,"aus_born",10.18
"1971",20.2,"overseas_born",2.58
"1972",20.2,"aus_born",10.3
"1972",20.2,"overseas_born",2.6
"1973",20.1,"aus_born",10.43
"1973",20.1,"overseas_born",2.62
"1974",20,"aus_born",10.56
"1974",20,"overseas_born",2.64
"1975",20,"aus_born",10.69
"1975",20,"overseas_born",2.67
"1976",19.9,"aus_born",10.83
"1976",19.9,"overseas_born",2.69
"1977",20,"aus_born",10.96
"1977",20,"overseas_born",2.75
"1978",20.2,"aus_born",11.1
"1978",20.2,"overseas_born",2.8
"1979",20.3,"aus_born",11.24
"1979",20.3,"overseas_born",2.86
"1980",20.4,"aus_born",11.39
"1980",20.4,"overseas_born",2.93
"1981",20.6,"aus_born",11.53
"1981",20.6,"overseas_born",2.99
"1982",20.6,"aus_born",11.68
"1982",20.6,"overseas_born",3.04
"1983",20.7,"aus_born",11.83
"1983",20.7,"overseas_born",3.09
"1984",20.8,"aus_born",11.98
"1984",20.8,"overseas_born",3.14
"1985",20.8,"aus_born",12.14
"1985",20.8,"overseas_born",3.19
"1986",20.9,"aus_born",12.3
"1986",20.9,"overseas_born",3.25
"1987",21.2,"aus_born",12.43
"1987",21.2,"overseas_born",3.34
"1988",21.5,"aus_born",12.57
"1988",21.5,"overseas_born",3.45
"1989",21.8,"aus_born",12.72
"1989",21.8,"overseas_born",3.55
"1990",22.1,"aus_born",12.86
"1990",22.1,"overseas_born",3.66
"1991",22.5,"aus_born",13
"1991",22.5,"overseas_born",3.77
"1992",23.1,"aus_born",13.45
"1992",23.1,"overseas_born",4.03
"1993",23,"aus_born",13.58
"1993",23,"overseas_born",4.05
"1994",23,"aus_born",13.72
"1994",23,"overseas_born",4.09
"1995",23.1,"aus_born",13.85
"1995",23.1,"overseas_born",4.15
"1996",23.3,"aus_born",13.98
"1996",23.3,"overseas_born",4.24
"1997",23.3,"aus_born",14.13
"1997",23.3,"overseas_born",4.29
"1998",23.2,"aus_born",14.3
"1998",23.2,"overseas_born",4.31
"1999",23.1,"aus_born",14.47
"1999",23.1,"overseas_born",4.35
"2000",23,"aus_born",14.64
"2000",23,"overseas_born",4.39
"2001",23.1,"aus_born",14.82
"2001",23.1,"overseas_born",4.45
"2002",23.3,"aus_born",14.94
"2002",23.3,"overseas_born",4.55
"2003",23.6,"aus_born",15.07
"2003",23.6,"overseas_born",4.66
"2004",23.8,"aus_born",15.18
"2004",23.8,"overseas_born",4.75
"2005",24.2,"aus_born",15.3
"2005",24.2,"overseas_born",4.88
"2006",24.6,"aus_born",15.42
"2006",24.6,"overseas_born",5.03
"2007",25.1,"aus_born",15.59
"2007",25.1,"overseas_born",5.23
"2008",25.8,"aus_born",15.77
"2008",25.8,"overseas_born",5.48
"2009",26.4,"aus_born",15.96
"2009",26.4,"overseas_born",5.73
"2010",26.7,"aus_born",16.15
"2010",26.7,"overseas_born",5.88
"2011",26.9,"aus_born",16.32
"2011",26.9,"overseas_born",6.02
"2012",27.3,"aus_born",16.52
"2012",27.3,"overseas_born",6.21
"2013",27.7,"aus_born",16.72
"2013",27.7,"overseas_born",6.41
"2014",28,"aus_born",16.91
"2014",28,"overseas_born",6.57
"2015",28.3,"aus_born",17.09
"2015",28.3,"overseas_born",6.73
"2016",28.6,"aus_born",17.28
"2016",28.6,"overseas_born",6.91
"2017",29,"aus_born",17.45
"2017",29,"overseas_born",7.14
"2018",29.4,"aus_born",17.62
"2018",29.4,"overseas_born",7.35
"2019",29.8,"aus_born",17.79
"2019",29.8,"overseas_born",7.55
"2020",29.9,"aus_born",17.98
"2020",29.9,"overseas_born",7.67
"2021",29.3,"aus_born",18.16
"2021",29.3,"overseas_born",7.53
"2022",29.5,"aus_born",18.33
"2022",29.5,"overseas_born",7.68
"2023",30.7,"aus_born",18.47
"2023",30.7,"overseas_born",8.19
"2024",31.5,"aus_born",18.62
"2024",31.5,"overseas_born",8.58
"2025",32,"aus_born",18.78
"2025",32,"overseas_born",8.83
